fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
3,2026-05..2026-07,seen,unseen,persistence,826134,0.12196905165910721,0.03178076972847943,0.0,-0.3023585784900449,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,climatology,873852,0.09365243464708328,0.42853963520879257,0.23216231188848124,0.0,sunshine_coast_core
0,2025-08..2025-10,future,seen,convlstm,585321,0.10351631790399551,0.48526389733187414,0.08840100179456156,0.05840307177849924,sunshine_coast_core
0,2025-08..2025-10,future,unseen,convlstm,22488,0.09008736163377762,0.3643617264380624,0.018567183465678316,0.027441336144785167,sunshine_coast_core
0,2025-08..2025-10,seen,seen,convlstm,20612490,0.09553160518407822,0.563903872902721,0.23059800529687002,-0.02458084353889345,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,convlstm,785461,0.09526821225881577,0.4115330592729478,0.22881444304059095,-0.006914786847620258,sunshine_coast_core
1,2025-11..2026-01,future,seen,convlstm,432738,0.1069207489490509,0.35917552945891196,0.32673409837843737,0.013938218340455277,sunshine_coast_core
1,2025-11..2026-01,future,unseen,convlstm,15262,0.08945158123970032,0.1443404565687486,0.33601589227585393,0.040786278004958154,sunshine_coast_core
1,2025-11..2026-01,seen,seen,convlstm,21200041,0.09275670349597931,0.5886937216743189,0.2458531169573972,-0.0014828865528238033,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,convlstm,807949,0.09273067861795425,0.44060016845818617,0.2427825368307014,0.012343228813124885,sunshine_coast_core
2,2026-02..2026-04,future,seen,convlstm,562371,0.15116746723651886,0.19013480699867957,0.40578926701172013,0.010962723172959876,sunshine_coast_core
2,2026-02..2026-04,future,unseen,convlstm,21398,0.15046820044517517,0.06591729588221074,0.4602051549171514,0.055271096567568456,sunshine_coast_core
